Organisation,Org_URL,Country,Industry,Pub_Date,Leak_Type,Description,Ransom_URL,Ransom_Group,Views,Leak_Size,Leak_Links,Org_Revenue,Percentage_Leaked
Danielski Farms Inc,https://danielskifarms.com,United States of America,Agriculture,2022-02-05,Financial Records,"Danielski Farms Inc. strives to perform the highest quality and efficient harvest of our customersâ€™ crops. Being farmers ourselves, we know the painstaking efforts required to see a crop through from planting to harvest.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/danielskifarms.com/,Bianlian,NA,200GB,/dl/danielskifarms.com_data_list.txt,383M,NA
Danielski Farms Inc,https://danielskifarms.com,United States of America,Agriculture,2022-02-05,Communication Records,"Danielski Farms Inc. strives to perform the highest quality and efficient harvest of our customersâ€™ crops. Being farmers ourselves, we know the painstaking efforts required to see a crop through from planting to harvest.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/danielskifarms.com/,Bianlian,NA,200GB,/dl/danielskifarms.com_data_list.txt,383M,NA
Danielski Farms Inc,https://danielskifarms.com,United States of America,Agriculture,2022-02-05,"Patents, License and Copyrights","Danielski Farms Inc. strives to perform the highest quality and efficient harvest of our customersâ€™ crops. Being farmers ourselves, we know the painstaking efforts required to see a crop through from planting to harvest.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/danielskifarms.com/,Bianlian,NA,200GB,/dl/danielskifarms.com_data_list.txt,383M,NA
Danielski Farms Inc,https://danielskifarms.com,United States of America,Agriculture,2022-02-05,Server Data,"Danielski Farms Inc. strives to perform the highest quality and efficient harvest of our customersâ€™ crops. Being farmers ourselves, we know the painstaking efforts required to see a crop through from planting to harvest.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/danielskifarms.com/,Bianlian,NA,200GB,/dl/danielskifarms.com_data_list.txt,383M,NA
Mackenzie Medical,https://www.mackenziemedical.com/,Canada,Healthcare,2022-06-05,Financial Records,"A network of 9 rehabilitation centers, that specializes in the treatment of WSIB injuries, motor vehicle accident injuries and sports injuries.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mackenziemedical.com/,Bianlian,NA,NA,/file_tree/mackenziemedical.com.txt,NA,NA
Mackenzie Medical,https://www.mackenziemedical.com/,Canada,Healthcare,2022-06-05,Medical Records,"A network of 9 rehabilitation centers, that specializes in the treatment of WSIB injuries, motor vehicle accident injuries and sports injuries.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mackenziemedical.com/,Bianlian,NA,NA,/file_tree/mackenziemedical.com.txt,NA,NA
Mackenzie Medical,https://www.mackenziemedical.com/,Canada,Healthcare,2022-06-05,Customer Data,"A network of 9 rehabilitation centers, that specializes in the treatment of WSIB injuries, motor vehicle accident injuries and sports injuries.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mackenziemedical.com/,Bianlian,NA,NA,/file_tree/mackenziemedical.com.txt,NA,NA
Mackenzie Medical,https://www.mackenziemedical.com/,Canada,Healthcare,2022-06-05,Employee Data,"A network of 9 rehabilitation centers, that specializes in the treatment of WSIB injuries, motor vehicle accident injuries and sports injuries.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mackenziemedical.com/,Bianlian,NA,NA,/file_tree/mackenziemedical.com.txt,NA,NA
Mackenzie Medical,https://www.mackenziemedical.com/,Canada,Healthcare,2022-06-05,Communication Data,"A network of 9 rehabilitation centers, that specializes in the treatment of WSIB injuries, motor vehicle accident injuries and sports injuries.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mackenziemedical.com/,Bianlian,NA,NA,/file_tree/mackenziemedical.com.txt,NA,NA
Anderson Insurance Associates,https://www.aiasc.com,United States of America,Finance & Insurance,2022-06-17,Financial Records,Anderson Insurance Associates is a Charleston-based Independent Insurance agency committed to putting its clients first since 1981.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/aiasc.com/,Bianlian,NA,NA,/file_tree/aiasc.com.txt,98M,NA
Anderson Insurance Associates,https://www.aiasc.com,United States of America,Finance & Insurance,2022-06-17,Customer Data,Anderson Insurance Associates is a Charleston-based Independent Insurance agency committed to putting its clients first since 1981.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/aiasc.com/,Bianlian,NA,NA,/file_tree/aiasc.com.txt,98M,NA
Anderson Insurance Associates,https://www.aiasc.com,United States of America,Finance & Insurance,2022-06-17,Communication Data,Anderson Insurance Associates is a Charleston-based Independent Insurance agency committed to putting its clients first since 1981.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/aiasc.com/,Bianlian,NA,NA,/file_tree/aiasc.com.txt,98M,NA
Anderson Insurance Associates,https://www.aiasc.com,United States of America,Finance & Insurance,2022-06-17,Employee Data,Anderson Insurance Associates is a Charleston-based Independent Insurance agency committed to putting its clients first since 1981.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/aiasc.com/,Bianlian,NA,NA,/file_tree/aiasc.com.txt,98M,NA
Anderson Insurance Associates,https://www.aiasc.com,United States of America,Finance & Insurance,2022-06-17,Server Data,Anderson Insurance Associates is a Charleston-based Independent Insurance agency committed to putting its clients first since 1981.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/aiasc.com/,Bianlian,NA,NA,/file_tree/aiasc.com.txt,98M,NA
High Power Technical Services,https://www.hpts.tv,United States of America,Finance & Insurance,2022-06-20,Financial Data,"Founded in 1999 and headquartered in Louisville, Kentucky, High Power Technical Services is a company that both sells and installs Dish based products to consumers.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/hpts.tv/,Bianlian,NA,NA,/file_tree/hpts.tv.txt,87M,NA
High Power Technical Services,https://www.hpts.tv,United States of America,Finance & Insurance,2022-06-20,Employee Data,"Founded in 1999 and headquartered in Louisville, Kentucky, High Power Technical Services is a company that both sells and installs Dish based products to consumers.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/hpts.tv/,Bianlian,NA,NA,/file_tree/hpts.tv.txt,87M,NA
High Power Technical Services,https://www.hpts.tv,United States of America,Finance & Insurance,2022-06-20,Communication Records,"Founded in 1999 and headquartered in Louisville, Kentucky, High Power Technical Services is a company that both sells and installs Dish based products to consumers.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/hpts.tv/,Bianlian,NA,NA,/file_tree/hpts.tv.txt,87M,NA
High Power Technical Services,https://www.hpts.tv,United States of America,Finance & Insurance,2022-06-20,Employee Data,"Founded in 1999 and headquartered in Louisville, Kentucky, High Power Technical Services is a company that both sells and installs Dish based products to consumers.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/hpts.tv/,Bianlian,NA,NA,/file_tree/hpts.tv.txt,87M,NA
High Power Technical Services,https://www.hpts.tv,United States of America,Finance & Insurance,2022-06-20,Server Data,"Founded in 1999 and headquartered in Louisville, Kentucky, High Power Technical Services is a company that both sells and installs Dish based products to consumers.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/hpts.tv/,Bianlian,NA,NA,/file_tree/hpts.tv.txt,87M,NA
ISGEC Heavy Engineering,https://www.isgec.com,India,Engineering,2022-06-21,Financial Records,"Isgec Heavy Engineering Ltd. is a multi-product, multi-location public company that has been providing engineering solutions to customers around the world for the past 89 years. Rank 252 in the ET 500 listing, 253 in the Fortune India 500 listing.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/isgec.com/,Bianlian,NA,NA,/file_tree/isgec.com.txt,734M,NA
ISGEC Heavy Engineering,https://www.isgec.com,India,Engineering,2022-06-21,Company Projects,"Isgec Heavy Engineering Ltd. is a multi-product, multi-location public company that has been providing engineering solutions to customers around the world for the past 89 years. Rank 252 in the ET 500 listing, 253 in the Fortune India 500 listing.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/isgec.com/,Bianlian,NA,NA,/file_tree/isgec.com.txt,734M,NA
ISGEC Heavy Engineering,https://www.isgec.com,India,Engineering,2022-06-21,Communication Records,"Isgec Heavy Engineering Ltd. is a multi-product, multi-location public company that has been providing engineering solutions to customers around the world for the past 89 years. Rank 252 in the ET 500 listing, 253 in the Fortune India 500 listing.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/isgec.com/,Bianlian,NA,NA,/file_tree/isgec.com.txt,734M,NA
ISGEC Heavy Engineering,https://www.isgec.com,India,Engineering,2022-06-21,Customer Data,"Isgec Heavy Engineering Ltd. is a multi-product, multi-location public company that has been providing engineering solutions to customers around the world for the past 89 years. Rank 252 in the ET 500 listing, 253 in the Fortune India 500 listing.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/isgec.com/,Bianlian,NA,NA,/file_tree/isgec.com.txt,734M,NA
ISGEC Heavy Engineering,https://www.isgec.com,India,Engineering,2022-06-21,Operations,"Isgec Heavy Engineering Ltd. is a multi-product, multi-location public company that has been providing engineering solutions to customers around the world for the past 89 years. Rank 252 in the ET 500 listing, 253 in the Fortune India 500 listing.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/isgec.com/,Bianlian,NA,NA,/file_tree/isgec.com.txt,734M,NA
Mooresville Schools,https://www.mooresvilleschools.org/,United States of America,Education,2022-06-21,Financial Records,"Mooresville Schools include five elementary schools, one middle school, one high school and a head office.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mooresvilleschools.org/,Bianlian,NA,NA,/file_tree/mooresvilleschools.org.txt,NA,NA
Mooresville Schools,https://www.mooresvilleschools.org/,United States of America,Education,2022-06-21,Employee Data,"Mooresville Schools include five elementary schools, one middle school, one high school and a head office.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mooresvilleschools.org/,Bianlian,NA,NA,/file_tree/mooresvilleschools.org.txt,NA,NA
Mooresville Schools,https://www.mooresvilleschools.org/,United States of America,Education,2022-06-21,Student Data,"Mooresville Schools include five elementary schools, one middle school, one high school and a head office.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mooresvilleschools.org/,Bianlian,NA,NA,/file_tree/mooresvilleschools.org.txt,NA,NA
Mooresville Schools,https://www.mooresvilleschools.org/,United States of America,Education,2022-06-21,Server Data,"Mooresville Schools include five elementary schools, one middle school, one high school and a head office.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mooresvilleschools.org/,Bianlian,NA,NA,/file_tree/mooresvilleschools.org.txt,NA,NA
Mooresville Schools,https://www.mooresvilleschools.org/,United States of America,Education,2022-06-21,Communication Data,"Mooresville Schools include five elementary schools, one middle school, one high school and a head office.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mooresvilleschools.org/,Bianlian,NA,NA,/file_tree/mooresvilleschools.org.txt,NA,NA
Rain the Growth Agency,https://www.rainforgrowth.com/,United States of America,Marketing,2022-06-28,Marketing Data,"Rain the Growth Agency is a fully integrated advertising agency. They link strategy, creative and production with audience targeting, dynamic media buying and advanced analytics.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/rainforgrowth.com/,Bianlian,NA,NA,/file_tree/rainforgrowth.com.txt,50M,NA
Rain the Growth Agency,https://www.rainforgrowth.com/,United States of America,Marketing,2022-06-28,Customer Data,"Rain the Growth Agency is a fully integrated advertising agency. They link strategy, creative and production with audience targeting, dynamic media buying and advanced analytics.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/rainforgrowth.com/,Bianlian,NA,NA,/file_tree/rainforgrowth.com.txt,50M,NA
Rain the Growth Agency,https://www.rainforgrowth.com/,United States of America,Marketing,2022-06-28,Financial Records,"Rain the Growth Agency is a fully integrated advertising agency. They link strategy, creative and production with audience targeting, dynamic media buying and advanced analytics.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/rainforgrowth.com/,Bianlian,NA,NA,/file_tree/rainforgrowth.com.txt,50M,NA
Rain the Growth Agency,https://www.rainforgrowth.com/,United States of America,Marketing,2022-06-28,Operations,"Rain the Growth Agency is a fully integrated advertising agency. They link strategy, creative and production with audience targeting, dynamic media buying and advanced analytics.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/rainforgrowth.com/,Bianlian,NA,NA,/file_tree/rainforgrowth.com.txt,50M,NA
Rain the Growth Agency,https://www.rainforgrowth.com/,United States of America,Marketing,2022-06-28,Server Data,"Rain the Growth Agency is a fully integrated advertising agency. They link strategy, creative and production with audience targeting, dynamic media buying and advanced analytics.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/rainforgrowth.com/,Bianlian,NA,NA,/file_tree/rainforgrowth.com.txt,50M,NA
Veritas Solicitors,https://www.veritassolicitors.co.uk/,United Kingdom,Law,2022-06-29,Customer Data,Firms that deals with legal issues and business transactions.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/veritassolicitors.co.uk/,Bianlian,NA,NA,/file_tree/veritassolicitors.co.uk.txt,5M,NA
Veritas Solicitors,https://www.veritassolicitors.co.uk/,United Kingdom,Law,2022-06-29,Financial Records,Firms that deals with legal issues and business transactions.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/veritassolicitors.co.uk/,Bianlian,NA,NA,/file_tree/veritassolicitors.co.uk.txt,5M,NA
Veritas Solicitors,https://www.veritassolicitors.co.uk/,United Kingdom,Law,2022-06-29,Server Data,Firms that deals with legal issues and business transactions.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/veritassolicitors.co.uk/,Bianlian,NA,NA,/file_tree/veritassolicitors.co.uk.txt,5M,NA
Veritas Solicitors,https://www.veritassolicitors.co.uk/,United Kingdom,Law,2022-06-29,Employee Data,Firms that deals with legal issues and business transactions.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/veritassolicitors.co.uk/,Bianlian,NA,NA,/file_tree/veritassolicitors.co.uk.txt,5M,NA
Conway Electrics,http://www.conwayelectrics.com.au/,Australia,Construction,2022-07-08,Server Data,"Conway Electrics Pty Ltd is an electrical contracting company specializing in commercial, industrial and domestic installations as well as maintenance and cbus.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/conwayelectrics.com.au/,Bianlian,NA,NA,None,5M,NA
Conway Electrics,http://www.conwayelectrics.com.au/,Australia,Construction,2022-07-08,Company Projects,"Conway Electrics Pty Ltd is an electrical contracting company specializing in commercial, industrial and domestic installations as well as maintenance and cbus.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/conwayelectrics.com.au/,Bianlian,NA,NA,None,5M,NA
Spalding Grammar School,http://spaldinggrammar.lincs.sch.uk,United Kingdom,Education,2022-07-11,Server Data,"Spalding Grammar School, fully known as The Queen Elizabeth Royal Free Grammar School Spalding, is a boysâ€™ grammar school in England.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/spaldinggrammar.lincs.sch.uk/,Bianlian,NA,NA,/dl/SpaldingGrammar_unsorted_fileserver_stuff.7z.001,726M,NA
Spalding Grammar School,http://spaldinggrammar.lincs.sch.uk,United Kingdom,Education,2022-07-11,Financial Records,"Spalding Grammar School, fully known as The Queen Elizabeth Royal Free Grammar School Spalding, is a boysâ€™ grammar school in England.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/spaldinggrammar.lincs.sch.uk/,Bianlian,NA,NA,/dl/SpaldingGrammar_unsorted_fileserver_stuff.7z.001,726M,NA
Spalding Grammar School,http://spaldinggrammar.lincs.sch.uk,United Kingdom,Education,2022-07-11,Communication Records,"Spalding Grammar School, fully known as The Queen Elizabeth Royal Free Grammar School Spalding, is a boysâ€™ grammar school in England.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/spaldinggrammar.lincs.sch.uk/,Bianlian,NA,NA,/dl/SpaldingGrammar_unsorted_fileserver_stuff.7z.001,726M,NA
"Abdulaziz, Grossbart & Rudman",http://agrlaw.com,United States of America,Law,2022-07-12,Company Projects,"Abdulaziz, Grossbart & Rudman is an resource to help avoid, minimize & resolve the legal issues that arise in construction.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/agrlaw.com/,Bianlian,NA,NA,/file_tree/agrlaw.com.txt,33M,NA
