Organisation,Exact_Date,Country,Industry,Org_URL,Leak_Type,Ransom_URL,Description,Pub_Date,Ransom_Group,Org_Revenue,Leak_Size,Message,Status
NanoFocus,01/01/2022 22:07:11,Germany,Engineering,https://www.nanofocus.com,Operations,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/1f95d3a3-09d2-4330-bd7a-b1551bfd952e,NA,05/09/53972,BlackCat,NA,NA,NA,Completed
CED Group,01/01/2022 23:35:33,Belgium,Finance & Insurance,https://cedgroup.eu/,Financial Records,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/7d4a9245-1074-44b0-99ea-a936954264c8,NA,06/11/53972,BlackCat,NA,NA,NA,Completed
FrenchGourmet,02/01/2022 18:42:27,United States of America,F&B,https://thefrenchgourmet.com,Financial Records|Operations,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/2c4bba1e-0770-4d62-bef7-52a3bc9f51bf,NA,11/01/53975,BlackCat,NA,NA,NA,Completed
Detroit Stoker,06/01/2022 01:16:59,United States of America,Manufacturing,https://www.detroitstoker.com,Operations|Financial Records|Customer Data,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/0963dd64-f462-4535-82da-b1aa6d102382,NA,29/12/53983,BlackCat,NA,NA,NA,Completed
The Grand Bahama Port Authority,07/01/2022 21:04:17,Bahama,Professional Services,https://gbpa.com/,Operations|Financial Records|Customer Data|Marketing Data|Employee Data,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/f51a9708-3e12-47e5-b4f4-1810a4bd7048,NA,26/12/53988,BlackCat,NA,NA,NA,Completed
International Portfolio Energy Co.,17/01/2022 07:01:18,United States of America,Oil & Gas,https://ipec.co,Financial Records|Operations,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/866968bb-3e52-463f-9dce-533df8453dbc,NA,06/10/54014,BlackCat,NA,NA,NA,Completed
Moncler,18/01/2022 06:38:21,United States of America,Retail,https://moncler.com,Operations|Customer Data,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/0cb9d544-7aac-424e-97e5-630035a4a74b,NA,16/06/54017,BlackCat,NA,NA,NA,Completed
Brookson Group,18/01/2022 22:18:10,United Kingdom,Professional Services,https://www.brooksongroup.co.uk,Operations|Employee Data,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/980a449b-0b76-4849-b997-daf5116e5aec,NA,31/03/54019,BlackCat,NA,NA,NA,Completed
MakeTheRightCall,29/01/2022 23:45:22,Hong Kong,Professional Services,https://maketherightcall.com,Operations|Financial Records,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/c88b51ed-f65e-458b-948c-34c53f6dc64d,NA,11/07/54049,BlackCat,NA,NA,NA,Completed
SVA Jean Rozé,01/02/2022 22:42:42,France,Others,https://www.sva-jeanroze.com,Financial Records|Customer Data|Operations,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/541e6462-2d43-4753-95d0-d06bf0271cf5,NA,15/08/54057,BlackCat,NA,NA,NA,Completed
CGT S.p.A.,03/02/2022 05:14:32,Italy,Manufacturing,https://www.cgt.it,Financial Records|Operations,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/8ff93541-8ac8-4515-8cca-d54e47c83cfa,NA,07/02/54061,BlackCat,NA,NA,NA,Completed
Royal Laser,04/02/2022 04:26:04,Canada,Manufacturing,https://royallaser.com,Operations|Employee Data,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/c8963643-c2ff-4d24-b21c-651cf9ea4e0f,NA,01/10/54063,BlackCat,NA,NA,NA,Completed
Mainland Headwear Holdings Limited,04/02/2022 08:01:19,Hong Kong,Finance & Insurance,http://www.mainland.com.hk,Financial Records,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/7cf86612-3971-4599-b8d5-acc274b36a4a,NA,28/02/54064,BlackCat,NA,NA,NA,Completed
