Organisation,Org_URL,Country,Pub_Date,Leak_Type,Description,Ransom_URL,Ransom_Group,Views,Leak_Size,Org_Revenue,Percentage_Leaked
MCV Holding Company LLC,https://www.capitalpower.com/,NA,01/11/2022,NA,"At Capital Power, we’re working to create a brighter world powered by responsible energy. Together, our thermal and renewable assets represent approximately 7,400 MW of generation capacity that is well-positioned to support the low-carbon energy system required for our longevity as a global community.",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/capitalpower,Quantum Blog,168.2k,150GB,1B,100% (full dump)
Midland Cogeneration Venture,https://www.midcogen.com,NA,06/10/2022,NA,Midland Cogeneration Venture (MCV) is the largest natural gas fired combined electrical energy and steam energy generating plant in the United States of America,http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/midlandcogenerationventure,Quantum Blog,155.9k,150GB,1B,0% (announcement)
Moscone Center,https://www.moscone.com/,NA,23/08/2022,NA,"HR Data, Exhibition data, Employees Data, Finance Data",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/mosconecenter,Quantum Blog,235.7k,250GB,$70M,5% (partial dump)
AHT Wisconsin Windows,https://www.ahtwindows.com,NA,19/08/2022,NA,"AHT Wisconsin Windows is ready to help you make your home more beautiful, more comfortable and more energy-efficient with home improvements including replacement windows, patio doors, and beautiful entry doors.",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/ahtwisconsinwindows,Quantum Blog,128.4k,11GB,5M,0% (announcement)
Pilenpak,https://www.pilenpak.com,NA,18/08/2022,NA,We continuously increase the value we create for our stakeholders by producinghigh quality and efficientpackaging material which will develop customer expectancy.,http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/pilenpak,Quantum Blog,128.9k,1TB,5M,0% (announcement)
Freyr Solutions,https://www.freyrsolutions.com/,NA,08/08/2022,NA,- Documents,http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/freyrsolutions,Quantum Blog,197.1k,400GB,204 Million,100% (full dump)
"Delon Hampton & Associates, Chartered",http://www.delonhampton.com,NA,19/07/2022,NA,"Customer Data, Employees Data, HR Data, Contracts, SSN, Financiles",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/delonhamptonassociateschartered,Quantum Blog,219.5k,817GB,$22M,100% (full dump)
Crupi Group,http://crupigroup.com,NA,29/06/2022,NA,"Passport scans, Signed contracts, invoices, payrolls, asphalt mix design reports, asphalt and concrete mix documentation, agreements, quality reports, NDA, Assets, licenses, vaccine records, legal, accidents reports, employee sign-in sheets, employee tracking, audits, corporate services access,accounts payble, statements, employee's reports of injury, personal medical data.",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/crupigroup,Quantum Blog,244.4k,450GB,$30M,100% (full dump)
YMCA,http://www.ymcasouthflorida.org,NA,14/06/2022,NA,"Customer data, Employees data, HR Data, Financials",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/ymca,Quantum Blog,261.1k,28GB,$202M,100% (full dump)
Medlab Pathology,http://medlab.com.au,NA,14/06/2022,NA,"Patients Data, Financial Data",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/medlabpathology,Quantum Blog,260.8k,86GB,$18M,100% (full dump)
Hirsch Watch Straps & Accessories,http://hirschstraps.com,NA,17/05/2022,NA,,http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/hirschwatchstrapsaccessories,Quantum Blog,297.8k,?GB,?$M,5% (partial dump)
Hufcor,http://www.hufcor.com,NA,29/04/2022,NA,"Engineering Data, Financial data, Customer Data, Employee data",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/hufcor,Quantum Blog,321.2k,550GB,$136M,0% (announcement)
Grosvenor Engineering Group,http://www.gegroup.com.au,NA,29/04/2022,NA,"Financial data, HR Data, Personnel data, lot's of employee data",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/grosvenorengineeringgroup,Quantum Blog,321.1k,?GB,$152M,0% (announcement)
Confcommercio - Alessandria - Home,http://www.confcommercio.al.it,NA,26/04/2022,NA,"We've got over 700Gb of company data, personal data, employee data and other commercial data.",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/confcommercioalessandriahome,Quantum Blog,326.2k,700GB,$100M,5% (partial dump)
Broadleaf,https://broadleafgame.com/,NA,11/04/2022,NA,"Employees Personal Data, Customer Data, HR Data, Financial Reports, Engineering Data, Partner Contracts and so on.",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/broadleaf,Quantum Blog,345.4k,795GB,$8M,0% (announcement)
Wolfe Industrial,http://www.wolfeindustrial.com,NA,11/04/2022,NA,"Accounting Data, Customer Data, Engineering data and so on.",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/wolfeindustrial,Quantum Blog,344.7k,45GB,$21M,0% (announcement)
