Organisation,Org_URL,Country,Pub_Date,Leak_Type,Description,Ransom_URL,Ransom_Group,Leak_Size,Org_Revenue,Percentage_Leaked,Leak_Links,Leak_Size,Org_Revenue,Percentage_Leaked,Leak_Links
QUT,http://www.qut.edu.au,NA,31/12/2022,NA,The Queensland University of Technology was founded in 1989 and is a research and course-based university which has schools and faculties in business,http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/xfPv3MIBmRJoO1f3ygwcDMfflw0kUqMr,Royal,0,669M,10,http://6wjqrulydd3k7fx7gbgdh3pjg42swcyfguwrasmkdss3v55i75ftq4id.onion/,0,669M,10,http://6wjqrulydd3k7fx7gbgdh3pjg42swcyfguwrasmkdss3v55i75ftq4id.onion/
AONTTAGL,http://www.agostini.com,NA,30/12/2022,NA,Proof Packemployee driver's licenses \ Finance \ budget,http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/in4Bp8h8w0484dk4XSBEhwHcYrRBr9ZY,Royal,25gb,33M,0,http://k6s24pz55gtvtzzpg4riv7zb74vts425bl42zrpmice5ud3a65itj6ad.onion/AONTTAGL/SDneqopDSAm/PROOF.zip,25gb,33M,0,http://k6s24pz55gtvtzzpg4riv7zb74vts425bl42zrpmice5ud3a65itj6ad.onion/AONTTAGL/SDneqopDSAm/PROOF.zip
Waterloo Wellington Flight Centre,https://www.wwfc.ca,NA,29/12/2022,NA,"Founded in 1932, at Lexington field in North Waterloo, Waterloo Wellington Flight Centre (WWFC) is deeply rooted in the Waterloo region.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/2tHTmQSmVuPLQbvQumbD6osYsKKY07kb,Royal,0,9M,100,D|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wwfc/D.tgz||F|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wwfc/F.tgz||S|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wwfc/S.tgz,0,9M,100,D|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wwfc/D.tgz||F|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wwfc/F.tgz||S|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/wwfc/S.tgz
Iowa Public Television,http://www.iowapbs.org,NA,29/12/2022,NA,"Iowa PBS is Iowa’s statewide public broadcasting network. Iowa PBS provides quality, innovative media and services that educate, inform, enrich and inspire Iowans.Our noncommercial, public-service mission enables us to bring you locally produced programs of lasting value regardless of where you live or what you can afford. Our educational media and resources help prepare Iowa’s children for success in school and opens up the world to them in age-appropriate ways. Nearly half the households in our viewing area tune to Iowa PBS each month for programming that reflects a range of interests for Iowans in all demographic categories.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/wq9Mwy2bFlNas3dFFok5flj7MIgt89p0,Royal,380Gb,18M,100,ALLENW|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/iptv/ALLENW.tgz||ANDREWBATT|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/iptv/ANDREWBATT.tgz||ELM|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/iptv/ELM.tgz||HACKBERRY|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/iptv/HACKBERRY.tgz||Archive|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/iptv/Archive.tgz,380Gb,18M,100,ALLENW|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/iptv/ALLENW.tgz||ANDREWBATT|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/iptv/ANDREWBATT.tgz||ELM|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/iptv/ELM.tgz||HACKBERRY|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/iptv/HACKBERRY.tgz||Archive|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/iptv/Archive.tgz
Emoney,http://www.emoneyfinance.com.au,NA,28/12/2022,NA,Australian First Mortgage Pty Ltd is a company that operates in the Financial Services industry. It employs 21-50 people and has $5M-$10M of revenue.,http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/aq4DAAfouoACyFnqc6B0k7FHYX1cw164,Royal,570Gb,9M,0,http://72u5vd67xdff354hhge6wjuvsixxwo3c6bvrdlqstgmjfptpbzwrsmad.onion/nmcgroup.zip,570Gb,9M,0,http://72u5vd67xdff354hhge6wjuvsixxwo3c6bvrdlqstgmjfptpbzwrsmad.onion/nmcgroup.zip
www.buildersmutual.com,http://www.buildersmutual.com,NA,27/12/2022,NA,"Industry: Surety insurance ,  Property damage insurance﻿Address: 5580 Centerview Dr Ste 100 Raleigh, NC, 27606-4599 United States",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/RV4clvZPpo0DFV1BtLgu5FrxqwgeYbxA,Royal,700,0,100,http://7i2f2rkkxc2utvykebghkje5k3rdxkxoee7po2ujelbvibqgxdnvxgyd.onion/,700,0,100,http://7i2f2rkkxc2utvykebghkje5k3rdxkxoee7po2ujelbvibqgxdnvxgyd.onion/
INTRADO,http://www.intrado.com,NA,27/12/2022,NA,PROOF PACK - internal documents \ passports \ employee driver's licensesPART ONE - Finance \ HR \ ,http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/rpanAznTHvi3dsjgbDHZjepzIkiTnYGc,Royal,781gb,3.5B,10,http://k6s24pz55gtvtzzpg4riv7zb74vts425bl42zrpmice5ud3a65itj6ad.onion/INTRADO/SDjn123XC82/proof.zip,781gb,3.5B,10,http://k6s24pz55gtvtzzpg4riv7zb74vts425bl42zrpmice5ud3a65itj6ad.onion/INTRADO/SDjn123XC82/proof.zip
Grupo Ibiapina Ltda,https://www.grupoibiapina.com.br,NA,27/12/2022,NA,Grupo Ibiapina Ltda is a company that operates in the Business Supplies and Equipment industry. It employs 251-500 people and has $50M-$100M of revenue.,http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/pTjJfWQVTsixCn51cM7hYTQBCLkhIZUe,Royal,16Gb,51M,100,Link1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/Ibiapina/SWFLAGAPP01.tgz||Link2|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/Ibiapina/SWNFEF99P01.tgz||Link3|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/Ibiapina/SWFRTP01.tgz,16Gb,51M,100,Link1|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/Ibiapina/SWFLAGAPP01.tgz||Link2|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/Ibiapina/SWNFEF99P01.tgz||Link3|http://tkektnwbesdjrcllcdyqmcmtqvgbdbpyxpoa2xpvr2nq4gunbedwenid.onion/Ibiapina/SWFRTP01.tgz
HELMA Eigenheimbau AG,https://www.helma.de/,NA,27/12/2022,NA,"HELMA Eigenheimbau AGHeadquarters: 4 Zum Meersefeld, Lehrte, Lower Saxony, 31275, GermanyPhone Number: +49 49513288500Website: www.helma.deRevenue: $352MStock Symbol: H5EHELMA Eigenheimbau AG is a Germany-based company that specializes in design and construction of new private residential buildings and houses. The Company diversifies its activities into three business segments: building services business; property development business, and Other. The main area of operations of the building services business encompasses the planning and construction management of detached and semi-detached houses on the basis of customer orders. In the property development business, constructions are realized and marketed on the Company's own land. The Other business segment comprises the broking business for building-related financing and insurance. As of December 31, 2011, the Company had three wholly-owned subsidiaries: Hausbau Finanz GmbH, HELMA LUX SA, and HELMA Ferienimmobilien GmbH. It also held a 93.95-stake in HELMA Wohnungsbau GmbH.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/PTtAYC9W19FBSZBMasgdZKaZgVAUYGU8,Royal,850Gb,325M,100,http://7ctqkkbgbzeo4c53wpluqpcrjocaam6334ltj3lmcauuq6rtlwrzvbad.onion/HELMA/,850Gb,325M,100,http://7ctqkkbgbzeo4c53wpluqpcrjocaam6334ltj3lmcauuq6rtlwrzvbad.onion/HELMA/
Inforlandia,https://www.inforlandia.com,NA,27/12/2022,NA,"Inforlandia is a leading European Original Equipment Manufacturer of computer hardware, mobile devices and consumer electronics.Celebrating 30 years, Inforlandia presents itself with a deep knowledge and experience in the technological sector, at local and international level, with successes that speak for themselves. Today it is the largest manufacturer of computer equipment in Portugal, with an offer adjusted and developed to the needs of customers and with a strong weight in exports. The ambition that dictated its path continues to outline its growth and consolidation strategies. With the aim of making technology increasingly accessible, both for Education and for the business and public sectors, it has been developing production methods and strategies that ensure unmatched flexibility and high levels of quality, with the utmost efficiency. The commitment to quality has been rewarded with certifications at the highest level, and Inforlandia’s objective is to continue to be one of the national companies with the highest number of product, process and business-level certifications.",http://royal4ezp7xrbakkus3oofjw6gszrohpodmdnfbe5e4w3og5sm7vb3qd.onion/4vIA2T5T0lIrnWPcuznhd0dBx7k5CcBG,Royal,120Gb,12M,0,,120Gb,12M,0,
